Catégorie : Toutes les catégories

Mois,Big data: (Dans tous les pays)
2004-01,8
2004-02,6
2004-03,7
2004-04,6
2004-05,6
2004-06,7
2004-07,7
2004-08,8
2004-09,6
2004-10,6
2004-11,6
2004-12,4
2005-01,6
2005-02,6
2005-03,6
2005-04,5
2005-05,6
2005-06,5
2005-07,5
2005-08,6
2005-09,6
2005-10,5
2005-11,5
2005-12,5
2006-01,6
2006-02,5
2006-03,5
2006-04,5
2006-05,5
2006-06,6
2006-07,4
2006-08,5
2006-09,5
2006-10,5
2006-11,4
2006-12,4
2007-01,5
2007-02,4
2007-03,4
2007-04,4
2007-05,4
2007-06,5
2007-07,5
2007-08,4
2007-09,5
2007-10,5
2007-11,5
2007-12,4
2008-01,5
2008-02,5
2008-03,5
2008-04,6
2008-05,5
2008-06,5
2008-07,5
2008-08,5
2008-09,6
2008-10,5
2008-11,6
2008-12,5
2009-01,5
2009-02,5
2009-03,6
2009-04,5
2009-05,6
2009-06,5
2009-07,5
2009-08,6
2009-09,6
2009-10,6
2009-11,5
2009-12,5
2010-01,6
2010-02,6
2010-03,6
2010-04,7
2010-05,6
2010-06,6
2010-07,6
2010-08,6
2010-09,6
2010-10,6
2010-11,6
2010-12,6
2011-01,7
2011-02,7
2011-03,8
2011-04,7
2011-05,9
2011-06,9
2011-07,9
2011-08,9
2011-09,11
2011-10,14
2011-11,15
2011-12,14
2012-01,17
2012-02,22
2012-03,24
2012-04,26
2012-05,28
2012-06,28
2012-07,27
2012-08,29
2012-09,35
2012-10,41
2012-11,41
2012-12,37
2013-01,44
2013-02,49
2013-03,54
2013-04,59
2013-05,58
2013-06,59
2013-07,58
2013-08,57
2013-09,64
2013-10,69
2013-11,67
2013-12,59
2014-01,70
2014-02,76
2014-03,79
2014-04,78
2014-05,79
2014-06,77
2014-07,81
2014-08,79
2014-09,91
2014-10,90
2014-11,89
2014-12,77
2015-01,84
2015-02,92
2015-03,97
2015-04,93
2015-05,86
2015-06,88
2015-07,82
2015-08,80
2015-09,92
2015-10,94
2015-11,90
2015-12,80
2016-01,89
2016-02,100
2016-03,95
2016-04,93
2016-05,91
2016-06,91
2016-07,87
2016-08,85
2016-09,98
2016-10,94
2016-11,98
2016-12,83
2017-01,90
2017-02,100
2017-03,100
2017-04,96
